name,id,tags,tech/manufacturer,rarity,base price,stack size,cargo space,baseRaidDanger,icon,sound id,sound id drop,plugin,plugin params,desc,order
Dead Voidling Queen,svc_void_queen,svc,Voidling,,50000,1,1,HIGH,graphics/icons/cargo/nanoforge_corrupted.png,ui_cargo_special_industrial_pickup,ui_cargo_special_industrial_drop,com.fs.starfarer.api.campaign.impl.items.MultiBlueprintItemPlugin,svc_multi_bp,"A dead voidling queen. With advanced bio-engineering, it might be possible to produce your own voidling ships. Unforunately, the current understanding of bio-engineering is not up to this task (AKA has not yet been implemented).",500
Stjarwhal Oil,svc_whale_oil,svc,Voidling,,7000,100,5,,graphics/icons/whale_oil.png,ui_cargo_special_ultratech_pickup,ui_cargo_special_ultratech_drop,tecrys.svc.items.StjarwhaleOilItemPlugin,,"Oil mercilessly extracted from peaceful Stjarwhales. While understanding the intricacies of how this works would require extensive research, your chief scientist was very excited to discover that this oil seems to function as a sort of phase-stabilized antimatter storage.

While reverse-engineering this substance is far beyond our capabilities, we can extract the contained antimatter to refill our fuel tanks, which is especially useful for extended off-core activities.

Right-click to use. Hold Ctrl to use until fuel tanks are full.",10
,,,,,,,,,,,,,,,
Whale Tail Cocktail Recipe,svc_booze_item,no_drop,,,60000,"10000
",1,,graphics/icons/svc_booze_item.png,ui_cargo_luxury,ui_cargo_luxury_drop,tecrys.svc.plugins.substanceabuse.RecipeItemPlugin,alcohol_brewery,A collection of old documents and recipes detailing the production method for a certain beverage.,138
Whale Tail Cocktail,svc_booze,no_drop,,,170,"10000
",0.5,,graphics/icons/svc_booze.png,ui_cargo_goods,ui_cargo_goods_drop,tecrys.svc.plugins.substanceabuse.svc_AlcoholItemPlugin,,,60
Void Chitin,svc_void_chitin,,,,400,10000,0.5,,graphics/icons/void_chitin.png,ui_cargo_goods,ui_cargo_goods_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"Shards of chitin collected from void creatures. This material is surprisingly light and durable. Its exact composition is unknown, but it appears to contain both metallic and organic material with traces of substances that emit p-space signatures, which should not be possible. Can be sold.",61
Void Chitin Plating,et_voidchitinplating,exotica,Domain Restricted,,20000,1000,0.5,EXTREME,graphics/icons/exotics/voidchitinplating.png,ui_cargo_special_biotech_pickup,ui_cargo_special_tech_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,VoidChitinPlating,Work in progress,311
,,,,,,,,,,,,,,,
Human Teeth,svc_human_teeth,,,,1,5,0.1,,graphics/icons/svc_teeth.png,ui_cargo_goods,ui_cargo_goods_drop,com.fs.starfarer.api.campaign.impl.items.BaseSpecialItemPlugin,,"Yes, these are human teeth.",61
Voidling Collar Blueprint,svc_control_collar_bp,svc,Voidling,,150000,1,0,,graphics/icons/svc_collar_bp.png,ui_cargo_goods,ui_cargo_goods_drop,tecrys.svc.items.ControlCollarItemPlugin,,"Data and equipment recovered from the carcasses of defeated voidling hunters. This was apparently used to attempt to control voidlings. Right-click to unlock the ability to salvage defeated regular voidlings,",2331
Alpha Collar Blueprint,svc_alpha_collar_bp,svc,Voidling,,300000,1,0,,graphics/icons/svc_collar_bp_alpha.png,ui_cargo_goods,ui_cargo_goods_drop,tecrys.svc.items.AlphaCollarItemPlugin,,"Data and equipment recovered from the carcasses of defeated voidling hunters. This was apparently used to attempt to control voidlings. Right-click to unlock the ability to salvage defeated regular voidlings,",2332
