id,type,text1,text2,text3,text4,text5,notes
svc_sml_mand_l,WEAPON,Sharp teeth-like protrusions moving with immense muscular power to tear victims into digestible chunks.,,,,,
svc_sml_mand_r,WEAPON,Sharp teeth-like protrusions moving with immense muscular power to tear victims into digestible chunks.,,,,,
svc_lrg_mand_l,WEAPON,Sharp teeth-like protrusions moving with immense muscular power to tear victims into digestible chunks.,,,,,
svc_lrg_mand_r,WEAPON,Sharp teeth-like protrusions moving with immense muscular power to tear victims into digestible chunks.,,,,,
svc_adv_sml_mand_l,WEAPON,Sharp teeth-like protrusions moving with immense muscular power to tear victims into digestible chunks.,,,,,
svc_adv_sml_mand_r,WEAPON,Sharp teeth-like protrusions moving with immense muscular power to tear victims into digestible chunks.,,,,,
svc_adv_lrg_mand_l,WEAPON,Sharp teeth-like protrusions moving with immense muscular power to tear victims into digestible chunks.,,,,,
svc_adv_lrg_mand_r,WEAPON,Sharp teeth-like protrusions moving with immense muscular power to tear victims into digestible chunks.,,,,,
svc_med_scythe_l,WEAPON,Gigantic scythe-like claws used to rend prey until it doesn't move anymore. Fortunately unable to pierce though shields.,,,,,
svc_med_scythe_r,WEAPON,Gigantic scythe-like claws used to rend prey until it doesn't move anymore. Fortunately unable to pierce though shields.,,,,,
svc_lrg_scythe_l,WEAPON,Gigantic scythe-like claws used to rend prey until it doesn't move anymore. Fortunately unable to pierce though shields.,,,,,
svc_lrg_scythe_r,WEAPON,Gigantic scythe-like claws used to rend prey until it doesn't move anymore. Fortunately unable to pierce though shields.,,,,,
svc_adv_med_scythe_l,WEAPON,Gigantic scythe-like claws used to rend prey until it doesn't move anymore. Fortunately unable to pierce though shields.,,,,,
svc_adv_med_scythe_r,WEAPON,Gigantic scythe-like claws used to rend prey until it doesn't move anymore. Fortunately unable to pierce though shields.,,,,,
svc_adv_lrg_scythe_l,WEAPON,Gigantic scythe-like claws used to rend prey until it doesn't move anymore. Fortunately unable to pierce though shields.,,,,,
svc_adv_lrg_scythe_r,WEAPON,Gigantic scythe-like claws used to rend prey until it doesn't move anymore. Fortunately unable to pierce though shields.,,,,,
,,,,,,,
svc_bge_grappler,WEAPON,This orifice houses a tendril capable of extending quickly. Through unknown means it accelerates the creature when the tendril latches onto its prey.,,,,,
svc_bge_grappler_pd,WEAPON,Though similar to Grappler Tendrils this pseudopod is specialized to attack small fast moving targets with a whip-like slash causing very high impact force.,,,,,
svc_bge_mini_grappler,WEAPON,Though similar to Grappler Tendrils this pseudopod is specialized to attack small fast moving targets with a whip-like slash causing very high impact force.,,,,,
svc_acidthrower,WEAPON,"A mutated gland symbiote that spits acid at enemies. Extremely effective against certain hyperalloys commonly found within most types of armor.
",,,,,
svc_miniacidthrower,WEAPON,"A mutated gland symbiote that spits acid at enemies. Extremely effective against certain hyperalloys commonly found within most types of armor.
",,,,,
svc_fangcluster,WEAPON,"A mutated Voidling jaw functioning suspiciously similar to a common mass driver.
Rapidly regrows fangs which are then accelerated by powerful muscles through a puzzling mechanism, somehow matching or even exceeding modern needler designs.",,,,,
svc_inksac,WEAPON,"This organic gland produces and stores an odd chemical capable of heavy foaming on rapid energy transfer. Such ink like material is capable of dissipating large amounts of energy and can choke out most conventional technology, significantly reducing the effectiveness of beams, causing missile engines to flame out and even being able to slightly reduce the impact of energy projectiles. Mounting on a ship is possible with proper precautions like nutrients and sensory intake taken into account.",,,,,
svc_boltzmann_brain,WEAPON,"A spontaneously manifesting brain is launched towards the enemy, spewing electropsionic EMP blasts as it comes closer, which fries the brain in the process.",,,,,
svc_worm_colony_large,WEAPON,"Numerous phaseworms call this growth their home and they will protect their host fiercely. The nest looks somewhat like wasp hives from Old-Earth. When phaseworms collide with an enemy ship they creep on board, wreaking havoc among the crew and sensitive systems.",,,,,
svc_worm_colony_small,WEAPON,"Numerous phaseworms call this growth their home and they will protect their host fiercely. The nest looks somewhat like wasp hives from Old-Earth. When phaseworms collide with an enemy ship they creep on board, wreaking havoc among the crew and sensitive systems.",,,,,
svc_bioplasma_large,WEAPON,"This symbiote has the ability to fire balls of slime that have been superheated to a plasmic state. These balls are fired in pairs, which are tethered together via some sort of slime cord, resulting in rather erratic, bola-like, projectile movement.",,,,,
svc_bigbrain,WEAPON,Cerebral Symbiote capable of projecting massive amounts of psionic Energy in a helix pattern.,,,,,
,,,,,,,
svc_hemalisk_berserk,SHIP_SYSTEM,"Activates berserker rage, increasing attack speed and adding life steal to attacks.",,,,,
svc_aggressive_pheromones,SHIP_SYSTEM,An aura of p-space vibrations surrounds the creature compelling other Voidlings in the area to move and attack faster.,,,,"Increases speed, flux dissipation and fire rate for all allies by {{50%}} in a large area around Lephantis.",
svc_parasumbilical_cord,SHIP_SYSTEM,"Attaches a parasitic umbilical cord to an enemy, diverting a part of the damage taken to the enemy. Will break if the enemy moves out of range.",,,,,
svc_nervous_shunt,SHIP_SYSTEM,Negates all damage for a few seconds after which all damage received during that time is applied at once.,,,,,
svc_volatile_void_drones,SHIP_SYSTEM,"Activates pain receptors in certain drones agitating them so much that they immediatly seek out the next enemy and ram themselves against them, dying in the process.",,,,,
svc_torid_drones,SHIP_SYSTEM,Releases a defensive Torid drone to protect its host.,,,,,
parry,SHIP_SYSTEM,"Reflects all projectiles and missiles in a 180° frontal arc for a brief time. Guided missiles will resume tracking their original target. Can only parry a certain amount of damage, based on OP. Once that threshold is exceeded, projectiles get stopped rather than parried.",,,,,
svc_biomemetism,SHIP_SYSTEM,Impossibly swift neural connections let the creature experience time differently enabling lightning-fast reflexes.,,,,,
svc_dash,SHIP_SYSTEM,A quick dash to the side that can be activated by double tapping a strafe key. Does not activate on right click if a strafe key is not held down at the same time.,,,,,
svc_phasesubmerge,SHIP_SYSTEM,The creature tears a hole into n-space to phase out for short duration. While phased speed and timeflow are greatly increased.,,,,,
svc_skip_swim,SHIP_SYSTEM,Smaller Void Creatures move erratically.,,,,,
svc_phase_flume,SHIP_SYSTEM,The creature taps into p-space to release dangerous fungal spores disabling ships in a small area around it and dealing light damage.,,,,"Deals {{200}} EMP and {{50}} Energy damage per tick. Can be used while phased and can rip other phase ships out of phase, overloading them for {{1}} second.",
svc_protect_mothership,SHIP_SYSTEM,The creature releases additional smaller creatures forming a protective shield of living bodies in front of itself.,,,,,
svc_spooky_action,SHIP_SYSTEM,NODESCRIPTION...YET,,,,,
,,,,,,,
svc_arbiter,SHIP,"Arbiters serve as p-space relays for the waves sent out by Lephantis Tyrant organisms and thus act as a beacon within a swarm or hunting party. They play a similar role to higher-ranking officers in human fleets, relaying orders and keeping their subordinates in check. This overseer ability goes so far that it can force smaller Voidlings to sacrifice themselves by forming living shields against incoming fire.",,,,,
svc_embolist,SHIP,"This putrid creature, almost blind by nature, makes use of a mutated proboscis to prod targets it believes to be food. If the impailed object retaliates a heavy payload of digestive fluids and larvae are swiftly injected. Subsequent dissolved organic matter serves as excellent feed for both the host and emergent spawn.",,,,,
svc_hemalisk,SHIP,"A particularly hostile monster even compared to its peers, Hemalisk's extreme metabolism and rabid aggression allows staggering physical abilities far beyond its size class. Some specimens have been observed feasting on non living matter such as hulls, likely due to its impossible energy requirements.",,,,,
svc_keratinos,SHIP,"This specimen sports an exceptionally resilient carapace, notably exceeding the armor density of most sector-standard warships. Additionally, Keratinos possess a decentralized nervous system analogous to a diffuse nerve net, reminiscent of ancient marine organisms. 
Combat records shows how this distributed neural architecture severely complicates incapacitation efforts, with numerous recorded incidents of reanimation despite critical injury.",,,,,
svc_lephantis,SHIP,"The largest and most intricate symbiote currently documented, a Lephantis uses its massive lung-like appendages to produce vibrations in phase space. These vibrations serve a dual purpose, enhancing physical and mental capabilities while also guiding symbiotes and individuals with weaker perception.",,,,,
svc_pupacyst,SHIP,"This species, known as a cultivator or surrogate, is responsible for nest building, transporting, and nurturing of smaller symbiotes.  Its parallel evolution to the Mios paired with an overdeveloped brain for its size allows precise and adaptable tactics unlike what one would expect from such a creature. Pupacysts are unique in their ability to transport antimatter fuel. They possess a specialized organ permanently located in p-space, an evolution that contradicts current hyperphysics theories.",,,,,
